partid,aspect_ind,sentiment,age,sex,yearsofedu,job,income,qual_focused,qual_effort,duration,rating,aspect,r_risk,r_frequency,r_social,r_situation,r_control,r_active,aspect_ind_cat,r_risk_binary,r_risk_binary_n,n_aspects,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_social,p_situation,p_control,p_active,rank_frequency,med_frequency,SMRD,mean_sentiment,max_sentiment,min_sentiment
p7lla7nfcj,4,-1,21,female,16,employed,0_1k,89,86,707,4,Am I impulsive?,-2,NA,0,1,NA,NA,Aspect #4,Contra,-1,6,2,4,-2,-0.3333333333333333,0.6666666666666666,4,0,0.6666666666666666,0.4,1,NA,3,-0.16666666666666666,-1.2,-1,-2
p7lla7nfcj,5,-2,21,female,16,employed,0_1k,89,86,707,4,Taking a risk can result in negative experiences,-28,month,0,0,uncontrollable,active,Aspect #5,Contra,-1,6,2,4,-2,-0.3333333333333333,0.6666666666666666,4,0,0.6666666666666666,0.4,1,3,3,-0.16666666666666666,-1.2,-1,-2
p7lla7nfcj,6,-1,21,female,16,employed,0_1k,89,86,707,4,A risk is also sometimes the only way to move ahead in life,31,less_reg,0,0,uncontrollable,active,Aspect #6,Pro,1,6,2,4,-2,-0.3333333333333333,0.6666666666666666,4,0,0.6666666666666666,0.4,1,5,3,-0.16666666666666666,-1.2,-1,-2
p7loem1g49,1,-1,60,female,16,selfemployed,1k_2k,100,100,410,1,There is no reason to take risks.,-40,week,0,0,controllable,passive,Aspect #1,Contra,-1,4,0,4,-4,-1,-36,-144,0,0.6666666666666666,0.5,0.6666666666666666,2,2.5,-1,-1,0,-2
p7loem1g49,2,0,60,female,16,selfemployed,1k_2k,100,100,410,1,The benefits don't outweigh the cost of taking risks,-36,month,NA,NA,controllable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-36,-144,0,0.6666666666666666,0.5,0.6666666666666666,3,2.5,-1,-1,0,-2
p7loem1g49,3,-1,60,female,16,selfemployed,1k_2k,100,100,410,1,I get too nervous ,-34,day,0,1,uncontrollable,NA,Aspect #3,Contra,-1,4,0,4,-4,-1,-36,-144,0,0.6666666666666666,0.5,0.6666666666666666,1,2.5,-1,-1,0,-2
p7loem1g49,4,-2,60,female,16,selfemployed,1k_2k,100,100,410,1,I hate to lose,-34,month,0,1,uncontrollable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-36,-144,0,0.6666666666666666,0.5,0.6666666666666666,3,2.5,-1,-1,0,-2
p7ola58i6r,1,-1,44,female,16,employed,0_1k,100,100,369,1,I try to avoid taking risk.,-50,day,1,1,controllable,active,Aspect #1,Contra,-1,4,0,4,-4,-1,-49.5,-198,0.75,0.75,1,0.5,1,6,-1,-0.5,1,-1
p7ola58i6r,2,-1,44,female,16,employed,0_1k,100,100,369,1,Don't want to injure myself.,-50,NA,0,0,NA,passive,Aspect #2,Contra,-1,4,0,4,-4,-1,-49.5,-198,0.75,0.75,1,0.5,NA,6,-1,-0.5,1,-1
p7ola58i6r,3,1,44,female,16,employed,0_1k,100,100,369,1,Don't get a thrill from such things.,-50,less_once,1,1,controllable,passive,Aspect #3,Contra,-1,4,0,4,-4,-1,-49.5,-198,0.75,0.75,1,0.5,6,6,-1,-0.5,1,-1
p7ola58i6r,4,-1,44,female,16,employed,0_1k,100,100,369,1,Don't want to cause harm to others from my actions.,-48,less_once,1,1,controllable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-49.5,-198,0.75,0.75,1,0.5,6,6,-1,-0.5,1,-1
p7u54fcc4q,1,0,65,female,14,employed,2k_3k,91,83,686,4,How significant is the risk?,-7,NA,0,0,uncontrollable,NA,Aspect #1,Contra,-1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,NA,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,2,-2,65,female,14,employed,2k_3k,91,83,686,4,How likely is the risk of something bad happening?,-24,month,0,0,uncontrollable,passive,Aspect #2,Contra,-1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,3,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,3,1,65,female,14,employed,2k_3k,91,83,686,4,What might the benefit be?,32,NA,0,0,uncontrollable,active,Aspect #3,Pro,1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,NA,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,4,1,65,female,14,employed,2k_3k,91,83,686,4,Do I think I'm capable?,14,week,0,1,controllable,active,Aspect #4,Pro,1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,2,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,5,0,65,female,14,employed,2k_3k,91,83,686,4,Can I deal successfully with possible bad outcomes?,35,month,0,1,controllable,active,Aspect #5,Pro,1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,3,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,6,-1,65,female,14,employed,2k_3k,91,83,686,4,What will people think of me if I fail?,-31,month,1,0,uncontrollable,passive,Aspect #6,Contra,-1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,3,3,-0.75,-0.42857142857142855,1,-2
p7u54fcc4q,8,-2,65,female,14,employed,2k_3k,91,83,686,4,Will I regret not taking the risk?,32,NA,0,0,controllable,NA,NA,Pro,1,8,5,3,2,0.25,10.125,81,0.25,0.25,0.375,0.6,NA,3,-0.75,-0.42857142857142855,1,-2
p8178lhu71,1,-1,49,female,13,employed,0_1k,100,92,258,1,I don't like to know the uncertain,-50,week,1,0,controllable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-49,-98,1,0,1,1,2,2,-1,0,1,-1
p8178lhu71,2,1,49,female,13,employed,0_1k,100,92,258,1,I like a normal safe way of living,-48,week,1,0,controllable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-49,-98,1,0,1,1,2,2,-1,0,1,-1
p81792oc4t,1,0,36,female,12,employed,2k_3k,100,93,547,2,I want to stay safe so I avoid taking risks.,-49,week,0,0,controllable,active,Aspect #1,Contra,-1,4,0,4,-4,-1,-49.75,-199,0,0,1,1,2,2.5,-1,-0.25,0,-1
p81792oc4t,2,0,36,female,12,employed,2k_3k,100,93,547,2,I don't think it is worth it to take risks.,-50,month,0,0,controllable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-49.75,-199,0,0,1,1,3,2.5,-1,-0.25,0,-1
p81792oc4t,3,-1,36,female,12,employed,2k_3k,100,93,547,2,I don't think it is necessary to take risks most of the time.,-50,week,0,0,controllable,active,Aspect #3,Contra,-1,4,0,4,-4,-1,-49.75,-199,0,0,1,1,2,2.5,-1,-0.25,0,-1
p81792oc4t,4,0,36,female,12,employed,2k_3k,100,93,547,2,Usually the payout is not worth the risk.,-50,month,0,0,NA,NA,Aspect #4,Contra,-1,4,0,4,-4,-1,-49.75,-199,0,0,1,1,3,2.5,-1,-0.25,0,-1
p876nerobm,1,-2,48,male,15,employed,3k_4k,100,100,430,6,I avoid unnecessary risks,-32,month,0,0,controllable,active,Aspect #1,Contra,-1,3,2,1,1,0.3333333333333333,-4.666666666666667,-14,0,0,1,1,3,3,-1,-1,0,-2
p876nerobm,2,0,48,male,15,employed,3k_4k,100,100,430,6,I research risks and determine a cost vs benefit analysis,4,month,0,0,controllable,active,Aspect #2,Pro,1,3,2,1,1,0.3333333333333333,-4.666666666666667,-14,0,0,1,1,3,3,-1,-1,0,-2
p876nerobm,3,-1,48,male,15,employed,3k_4k,100,100,430,6,I am willing to take risks if the benefit outweighs the risk,14,month,0,0,controllable,active,Aspect #3,Pro,1,3,2,1,1,0.3333333333333333,-4.666666666666667,-14,0,0,1,1,3,3,-1,-1,0,-2
p8bjleaivo,1,-2,37,female,14,selfemployed,1k_2k,100,98,601,2,I generally avoid risks because I don't want to lose my kids,-50,less_reg,1,1,uncontrollable,active,Aspect #1,Contra,-1,5,0,5,-5,-1,-49,-245,1,0.8,0,0.8,5,5,-1,-2.2,-1,-3
p8bjleaivo,2,-3,37,female,14,selfemployed,1k_2k,100,98,601,2,I don't want to get hurt or die so I don't take risks,-50,NA,1,0,uncontrollable,passive,Aspect #2,Contra,-1,5,0,5,-5,-1,-49,-245,1,0.8,0,0.8,NA,5,-1,-2.2,-1,-3
p8bjleaivo,3,-1,37,female,14,selfemployed,1k_2k,100,98,601,2,I don't want to risk getting arrested or getting anyone else arrested.,-45,less_reg,1,1,uncontrollable,active,Aspect #3,Contra,-1,5,0,5,-5,-1,-49,-245,1,0.8,0,0.8,5,5,-1,-2.2,-1,-3
p8bjleaivo,4,-2,37,female,14,selfemployed,1k_2k,100,98,601,2,I don't like risks because I can't afford to fix anything I break or fuck up.,-50,less_reg,1,1,uncontrollable,active,Aspect #4,Contra,-1,5,0,5,-5,-1,-49,-245,1,0.8,0,0.8,5,5,-1,-2.2,-1,-3
p8bjleaivo,5,-3,37,female,14,selfemployed,1k_2k,100,98,601,2,I don't like risks because I am afraid of the unknown things that could happen. ,-50,less_reg,1,1,uncontrollable,active,Aspect #5,Contra,-1,5,0,5,-5,-1,-49,-245,1,0.8,0,0.8,5,5,-1,-2.2,-1,-3
p8j43n1q2e,1,-1,27,female,14,unemployed,0_1k,42,61,324,2,I don't want to get hurt,-17,month,0,1,uncontrollable,active,Aspect #1,Contra,-1,5,0,5,-5,-1,-25.6,-128,0,0.6,0,0.6,3,3,-1,-1,-1,-1
p8j43n1q2e,2,-1,27,female,14,unemployed,0_1k,42,61,324,2,I don't want to hurt my family,-44,year,0,0,uncontrollable,active,Aspect #2,Contra,-1,5,0,5,-5,-1,-25.6,-128,0,0.6,0,0.6,4,3,-1,-1,-1,-1
p8j43n1q2e,3,-1,27,female,14,unemployed,0_1k,42,61,324,2,I don't want to put myself in a scary situation,-13,year,0,1,uncontrollable,passive,Aspect #3,Contra,-1,5,0,5,-5,-1,-25.6,-128,0,0.6,0,0.6,4,3,-1,-1,-1,-1
p8j43n1q2e,4,-1,27,female,14,unemployed,0_1k,42,61,324,2,I don't want to be uncomfortable or embarassed,-39,month,0,1,uncontrollable,passive,Aspect #4,Contra,-1,5,0,5,-5,-1,-25.6,-128,0,0.6,0,0.6,3,3,-1,-1,-1,-1
p8j43n1q2e,5,-1,27,female,14,unemployed,0_1k,42,61,324,2,I worry the risk will outweigh the reward,-15,month,0,0,uncontrollable,active,Aspect #5,Contra,-1,5,0,5,-5,-1,-25.6,-128,0,0.6,0,0.6,3,3,-1,-1,-1,-1
p90o1dab0u,1,-1,57,female,12,employed,5k_x,90,64,326,2,Avoid taking risks generally. I feel it is better to be safe than sorry. If i was guaranteed something or had to take a risk for something more I would take the guaranteed,-50,week,0,0,NA,NA,Aspect #1,Contra,-1,2,0,2,-2,-1,-42.5,-85,0,0,NaN,NaN,2,2,-1,-1,-1,-1
p95594cp0p,1,-1,37,male,13,employed,2k_3k,100,100,407,9,"Yes, but it also depends on the situation. The risk tolerance varies depending on the situation.",12,day,0,0,uncontrollable,passive,Aspect #1,Pro,1,5,5,0,5,1,26.8,134,0,0,0.4,0.6,1,1,1,-0.6,0,-1
p95594cp0p,2,0,37,male,13,employed,2k_3k,100,100,407,9,I do not mind taking risks because the payoff is generally worth it.,32,week,0,0,controllable,active,Aspect #2,Pro,1,5,5,0,5,1,26.8,134,0,0,0.4,0.6,2,1,1,-0.6,0,-1
p95594cp0p,3,0,37,male,13,employed,2k_3k,100,100,407,9,It's fun to take risks.,50,week,0,0,controllable,active,Aspect #3,Pro,1,5,5,0,5,1,26.8,134,0,0,0.4,0.6,2,1,1,-0.6,0,-1
p95594cp0p,4,-1,37,male,13,employed,2k_3k,100,100,407,9,Sometimes you have to take a risk to get ahead.,33,day,0,0,uncontrollable,active,Aspect #4,Pro,1,5,5,0,5,1,26.8,134,0,0,0.4,0.6,1,1,1,-0.6,0,-1
p95594cp0p,5,-1,37,male,13,employed,2k_3k,100,100,407,9,"Yeah, everyone takes risks everyday.  It's basically a judgement call.",7,day,0,0,uncontrollable,passive,Aspect #5,Pro,1,5,5,0,5,1,26.8,134,0,0,0.4,0.6,1,1,1,-0.6,0,-1
p961d9h451,1,-2,32,male,16,employed,5k_x,100,100,758,10,"I am willing to take risks as I have always accepted tasks or work that is highly dangerous where loss of life is higher than others. Similarly, I have done this with investing, home buying, car buying, etc. Fortunately, I have found that taking risks has a higher return on investment/reward as everything has paid off in the end.",50,day,0,1,controllable,active,Aspect #1,Pro,1,5,5,0,5,1,50,250,0.6,1,0.8,1,1,1,1,0.8,2,-2
p961d9h451,2,1,32,male,16,employed,5k_x,100,100,758,10,"Taking risks is something that the rich do to accomplish gaining wealth. I have found myself doing similar things in real estate investment in terms of rental properties. Rental properties have a huge margin of risk as you must buy at a discount, must have available tenants, must have rent on time, and save for repair work. All at the same time while being responsible for the mortgage.",50,less_reg,1,1,controllable,active,Aspect #2,Pro,1,5,5,0,5,1,50,250,0.6,1,0.8,1,5,1,1,0.8,2,-2
p961d9h451,3,2,32,male,16,employed,5k_x,100,100,758,10,"I would say I take risks more often as I enjoy the challenge and stress it creates. I for one, perform at my best when the odds are stacked against me and everyone is counting on me. I enjoy the urge to accomplish the mission and carry the team to victory.",50,day,0,1,controllable,active,Aspect #3,Pro,1,5,5,0,5,1,50,250,0.6,1,0.8,1,1,1,1,0.8,2,-2
p961d9h451,4,2,32,male,16,employed,5k_x,100,100,758,10,"In my line of work where loss of life is likely or could occur, I view it as noble to accept that risk. The jobs I have pursued are for the benefit of public safety and country. There is relatively small percentage of individuals who stand up and protect what they love. I believe it is worth the associated risk.",50,day,1,1,controllable,active,Aspect #4,Pro,1,5,5,0,5,1,50,250,0.6,1,0.8,1,1,1,1,0.8,2,-2
p961d9h451,5,1,32,male,16,employed,5k_x,100,100,758,10,Reward. I have many medals/certificates/accomodations that I have earned for taking risk. I appreciate the fact that I am noticed and recognized for doing some daring things that many would never imagine to do. ,50,year,1,1,uncontrollable,active,Aspect #5,Pro,1,5,5,0,5,1,50,250,0.6,1,0.8,1,4,1,1,0.8,2,-2
p98vdnfo6t,1,-1,40,female,16,employed,3k_4k,100,100,222,1,I try to avoid risks because I have children who depend on me,-36,week,0,0,controllable,active,Aspect #1,Contra,-1,4,0,4,-4,-1,-37.25,-149,0,0,1,1,2,2,-1,-1.25,0,-3
p98vdnfo6t,2,0,40,female,16,employed,3k_4k,100,100,222,1,I avoid risks because i like my freedom too much,-38,week,0,0,controllable,active,Aspect #2,Contra,-1,4,0,4,-4,-1,-37.25,-149,0,0,1,1,2,2,-1,-1.25,0,-3
p98vdnfo6t,3,-3,40,female,16,employed,3k_4k,100,100,222,1,i avoid risks because I don't like living with the regret of making mistakes that could have been avoided,-37,week,0,0,controllable,active,Aspect #3,Contra,-1,4,0,4,-4,-1,-37.25,-149,0,0,1,1,2,2,-1,-1.25,0,-3
p98vdnfo6t,4,-1,40,female,16,employed,3k_4k,100,100,222,1,I avoid risks because life is too short to not think critically,-38,week,0,0,controllable,active,Aspect #4,Contra,-1,4,0,4,-4,-1,-37.25,-149,0,0,1,1,2,2,-1,-1.25,0,-3
p99pd2g2hd,1,0,33,male,16,employed,1k_2k,100,100,283,4,I avoid taking risks because I want better assurance of a good outcome.,-50,week,0,1,controllable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-50,-100,0,1,1,1,2,2,-1,-1,0,-2
p99pd2g2hd,2,-2,33,male,16,employed,1k_2k,100,100,283,4,I don't want a great chance of losing time or money on a high risk.,-50,week,0,1,controllable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-50,-100,0,1,1,1,2,2,-1,-1,0,-2
p9i1pcugbb,1,1,30,male,18,employed,5k_x,100,100,126,8,I am young and have time to recover,18,day,0,0,controllable,active,Aspect #1,Pro,1,2,2,0,2,1,18,36,0,0.5,1,1,1,1,1,0,1,-1
p9i1pcugbb,2,-1,30,male,18,employed,5k_x,100,100,126,8,No kids allows more risk,18,day,0,1,controllable,active,Aspect #2,Pro,1,2,2,0,2,1,18,36,0,0.5,1,1,1,1,1,0,1,-1
pa0ckrqnqp,1,-1,24,female,18,student,1k_2k,100,100,511,0,I try to avoid risks because I do not like uncertainty.,-50,less_reg,1,0,uncontrollable,active,Aspect #1,Contra,-1,5,0,5,-5,-1,-50,-250,0.75,0.4,0,0.75,5,5,-1,-1.4,1,-3
pa0ckrqnqp,2,-2,24,female,18,student,1k_2k,100,100,511,0,I try to avoid risks because I do not like to be fearful of what is to come.,-50,less_once,0,0,uncontrollable,NA,Aspect #2,Contra,-1,5,0,5,-5,-1,-50,-250,0.75,0.4,0,0.75,6,5,-1,-1.4,1,-3
pa0ckrqnqp,3,-3,24,female,18,student,1k_2k,100,100,511,0,I avoid risks because I have anxiety and do not like to induce it for unnecessary reason.,-50,day,NA,1,uncontrollable,active,Aspect #3,Contra,-1,5,0,5,-5,-1,-50,-250,0.75,0.4,0,0.75,1,5,-1,-1.4,1,-3
pa0ckrqnqp,4,1,24,female,18,student,1k_2k,100,100,511,0,I like to play it safe because I like when I have a guaranteed future.,-50,month,1,1,uncontrollable,active,Aspect #4,Contra,-1,5,0,5,-5,-1,-50,-250,0.75,0.4,0,0.75,3,5,-1,-1.4,1,-3
pa0ckrqnqp,5,-2,24,female,18,student,1k_2k,100,100,511,0,I don't take risks because I do not want to lose what I already have.,-50,less_reg,1,0,uncontrollable,passive,Aspect #5,Contra,-1,5,0,5,-5,-1,-50,-250,0.75,0.4,0,0.75,5,5,-1,-1.4,1,-3
paah0tgdb0,2,-1,29,male,20,employed,3k_4k,100,100,594,3,If a situation is particularly risky I will avoid it if possible.,-9,week,NA,NA,controllable,active,Aspect #2,Contra,-1,6,0,6,-6,-1,-20.166666666666668,-121,0,1,1,1,2,2,-1,-0.75,1,-2
paah0tgdb0,4,-2,29,male,20,employed,3k_4k,100,100,594,3,I have never engaged in anything that has directly put my life at risk or in danger.,-44,day,0,1,controllable,active,Aspect #4,Contra,-1,6,0,6,-6,-1,-20.166666666666668,-121,0,1,1,1,1,2,-1,-0.75,1,-2
paah0tgdb0,5,1,29,male,20,employed,3k_4k,100,100,594,3,"I have chosen my profession because of the nature that it is a safe position, free from risks or dangers.",-24,less_once,0,1,controllable,active,Aspect #5,Contra,-1,6,0,6,-6,-1,-20.166666666666668,-121,0,1,1,1,6,2,-1,-0.75,1,-2
paah0tgdb0,6,-1,29,male,20,employed,3k_4k,100,100,594,3,I have turned down jobs and opportunities because I felt there were too many risks involved.,-35,year,0,1,controllable,active,Aspect #6,Contra,-1,6,0,6,-6,-1,-20.166666666666668,-121,0,1,1,1,4,2,-1,-0.75,1,-2
pae1oh4880,1,-3,32,male,16,employed,1k_2k,100,100,158,1,I get worried that things may work out badly if I take a risk.,-47,less_once,0,1,uncontrollable,passive,Aspect #1,Contra,-1,4,0,4,-4,-1,-44.5,-178,0,1,0,0,6,6,-1,-1.75,-1,-3
pae1oh4880,2,-2,32,male,16,employed,1k_2k,100,100,158,1,I worry about what I can lose.,-37,less_once,0,1,uncontrollable,passive,Aspect #2,Contra,-1,4,0,4,-4,-1,-44.5,-178,0,1,0,0,6,6,-1,-1.75,-1,-3
pae1oh4880,3,-1,32,male,16,employed,1k_2k,100,100,158,1,I think about negative outcomes.,-45,less_once,0,1,uncontrollable,passive,Aspect #3,Contra,-1,4,0,4,-4,-1,-44.5,-178,0,1,0,0,6,6,-1,-1.75,-1,-3
pae1oh4880,4,-1,32,male,16,employed,1k_2k,100,100,158,1,I feel scared of departing from wat I know and am used to.,-49,less_once,0,1,uncontrollable,passive,Aspect #4,Contra,-1,4,0,4,-4,-1,-44.5,-178,0,1,0,0,6,6,-1,-1.75,-1,-3
paeds93mh8,1,-2,27,female,20,employed,0_1k,100,100,723,6,I depends on the risks that go with taking a risk. ,-33,less_once,NA,0,controllable,passive,Aspect #1,Contra,-1,3,1,1,0,0,3.3333333333333335,10,0,0.6666666666666666,1,0.6666666666666666,6,6,-0.6666666666666666,-2,-2,-2
paeds93mh8,2,-2,27,female,20,employed,0_1k,100,100,723,6,"If the risk meant a betterment in my life and the life others, then yes i would consider taking a risk. ",43,less_once,0,1,controllable,active,Aspect #2,Pro,1,3,1,1,0,0,3.3333333333333335,10,0,0.6666666666666666,1,0.6666666666666666,6,6,-0.6666666666666666,-2,-2,-2
paeds93mh8,3,-2,27,female,20,employed,0_1k,100,100,723,6,"If it meant that eventually the benefits outweigh the risk, then i would take the risk. Either than that, i am cautious to take risks unless i have put a lot of thought into it. ",0,less_once,0,1,controllable,active,Aspect #3,neutral,0,3,1,1,0,0,3.3333333333333335,10,0,0.6666666666666666,1,0.6666666666666666,6,6,-0.6666666666666666,-2,-2,-2
pajlcbu2t0,1,0,33,male,12,employed,2k_3k,100,86,249,6,I will take a risk if I know the reward is worth the risk being taken.,22,year,0,1,controllable,active,Aspect #1,Pro,1,3,3,0,3,1,17,51,0,1,1,1,4,5,1,-0.3333333333333333,0,-1
pajlcbu2t0,2,0,33,male,12,employed,2k_3k,100,86,249,6,If there is a very high chance of success I will take the risk.,12,less_reg,0,1,controllable,active,Aspect #2,Pro,1,3,3,0,3,1,17,51,0,1,1,1,5,5,1,-0.3333333333333333,0,-1
pajlcbu2t0,3,-1,33,male,12,employed,2k_3k,100,86,249,6,If the risk is minimal I will take the chance.,17,less_reg,0,1,NA,active,Aspect #3,Pro,1,3,3,0,3,1,17,51,0,1,1,1,5,5,1,-0.3333333333333333,0,-1
paktl8bjj7,1,-1,27,female,17,employed,2k_3k,100,100,141,1,I avoid taking risks because I am an introvert,-50,day,1,1,uncontrollable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-50,-100,0.5,1,0,1,1,1,-1,-0.5,0,-1
paktl8bjj7,2,0,27,female,17,employed,2k_3k,100,100,141,1,I avoid taking risks because I like stability,-50,day,0,1,uncontrollable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-50,-100,0.5,1,0,1,1,1,-1,-0.5,0,-1
palvq0qt8k,1,0,34,male,16,selfemployed,4k_5k,100,100,344,7,In most situations the level of risk correlates with the amount of reward. ,40,day,0,0,controllable,active,Aspect #1,Pro,1,3,3,0,3,1,36,108,0,0,1,1,1,1,1,-0.3333333333333333,0,-1
palvq0qt8k,2,-1,34,male,16,selfemployed,4k_5k,100,100,344,7,It depends on my general personal risk threshold.,28,NA,0,0,controllable,active,Aspect #2,Pro,1,3,3,0,3,1,36,108,0,0,1,1,NA,1,1,-0.3333333333333333,0,-1
palvq0qt8k,3,0,34,male,16,selfemployed,4k_5k,100,100,344,7,I associate a particular level of risk with a certain amount on reward.,40,day,0,0,controllable,active,Aspect #3,Pro,1,3,3,0,3,1,36,108,0,0,1,1,1,1,1,-0.3333333333333333,0,-1
papbma6ag3,1,-1,37,female,16,selfemployed,2k_3k,88,87,198,1,I do not take risks because I'm a mother and want to be around for my son.,-48,day,1,1,controllable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-42.5,-85,0.5,1,0.5,0.5,1,2.5,-1,-1.5,-1,-2
papbma6ag3,2,-2,37,female,16,selfemployed,2k_3k,88,87,198,1,I do not take risks because hurting myself scares me.,-37,year,0,1,uncontrollable,passive,Aspect #2,Contra,-1,2,0,2,-2,-1,-42.5,-85,0.5,1,0.5,0.5,4,2.5,-1,-1.5,-1,-2
paq7t1fa6i,1,0,36,male,4,employed,3k_4k,99,100,575,2,it depend on the the amount and benefit rate of the risk to take.,-4,day,0,NA,controllable,passive,Aspect #1,Contra,-1,3,0,3,-3,-1,-33,-99,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1,1.5,-1,-0.3333333333333333,0,-1
paq7t1fa6i,2,-1,36,male,4,employed,3k_4k,99,100,575,2,most of the time i try to avoid taking risks because i believe murphy rules.,-50,NA,0,0,uncontrollable,passive,Aspect #2,Contra,-1,3,0,3,-3,-1,-33,-99,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,NA,1.5,-1,-0.3333333333333333,0,-1
paq7t1fa6i,3,0,36,male,4,employed,3k_4k,99,100,575,2,most of the time i try to avoid taking risks because i am not lucky person.,-45,week,1,1,uncontrollable,active,Aspect #3,Contra,-1,3,0,3,-3,-1,-33,-99,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,2,1.5,-1,-0.3333333333333333,0,-1
pbai7dfvr0,1,0,42,male,20,employed,5k_x,100,100,286,8,I take risks because of a chance for reward,45,week,0,1,controllable,active,Aspect #1,Pro,1,6,6,0,6,1,32,192,0.5,1,0.6666666666666666,0.8333333333333334,2,3,1,0,1,-1
pbai7dfvr0,2,0,42,male,20,employed,5k_x,100,100,286,8,The reward is often much greater than when not taking risks,47,month,1,1,controllable,active,Aspect #2,Pro,1,6,6,0,6,1,32,192,0.5,1,0.6666666666666666,0.8333333333333334,3,3,1,0,1,-1
pbai7dfvr0,3,0,42,male,20,employed,5k_x,100,100,286,8,risks can be fun,29,week,0,1,controllable,active,Aspect #3,Pro,1,6,6,0,6,1,32,192,0.5,1,0.6666666666666666,0.8333333333333334,2,3,1,0,1,-1
pbai7dfvr0,5,1,42,male,20,employed,5k_x,100,100,286,8,the thrill,36,month,0,1,uncontrollable,active,Aspect #5,Pro,1,6,6,0,6,1,32,192,0.5,1,0.6666666666666666,0.8333333333333334,3,3,1,0,1,-1
pbai7dfvr0,6,-1,42,male,20,employed,5k_x,100,100,286,8,to not be boring,27,month,1,1,controllable,passive,Aspect #6,Pro,1,6,6,0,6,1,32,192,0.5,1,0.6666666666666666,0.8333333333333334,3,3,1,0,1,-1
pbkjfru1lp,2,-1,38,female,16,employed,3k_4k,100,83,401,2,I do not like pain.,-50,NA,0,0,controllable,active,Aspect #2,Contra,-1,5,0,5,-5,-1,-45.8,-229,0,0.2,0.6,0.6,NA,2,-1,-1,-1,-1
pbkjfru1lp,3,-1,38,female,16,employed,3k_4k,100,83,401,2,I do not like to be emotionally upset.,-50,less_reg,0,0,uncontrollable,passive,Aspect #3,Contra,-1,5,0,5,-5,-1,-45.8,-229,0,0.2,0.6,0.6,5,2,-1,-1,-1,-1
pbo5rcjj99,1,0,34,female,16,employed,1k_2k,100,100,386,0,I won't take risks as I prefer to be in safest side.,-49,less_once,1,0,uncontrollable,active,Aspect #1,Contra,-1,1,0,1,-1,-1,-49,-49,1,0,0,1,6,6,-1,0,0,0
pbueln0nn6,1,-2,64,female,13,selfemployed,0_1k,100,76,258,3,I avoid taking risks because I have no money to waste.,-28,month,0,1,uncontrollable,active,Aspect #1,Contra,-1,2,0,2,-2,-1,-32,-64,0,0.5,0,1,3,3,-1,-2,-2,-2
pbueln0nn6,2,-2,64,female,13,selfemployed,0_1k,100,76,258,3,I avoid taking risks because I do not like to lose.,-36,month,0,0,uncontrollable,active,Aspect #2,Contra,-1,2,0,2,-2,-1,-32,-64,0,0.5,0,1,3,3,-1,-2,-2,-2
pbv2l7v8b7,1,0,31,female,15,employed,2k_3k,97,90,347,7,i like to have fun and sometimes that involves taking risks.,46,month,0,1,uncontrollable,active,Aspect #1,Pro,1,2,2,0,2,1,39.5,79,0,1,0.5,1,3,3,1,-1,0,-2
pbv2l7v8b7,2,-2,31,female,15,employed,2k_3k,97,90,347,7,I will occasionally take risks that could pay off well but I won't if it puts someone else at risk.,33,month,0,1,controllable,active,Aspect #2,Pro,1,2,2,0,2,1,39.5,79,0,1,0.5,1,3,3,1,-1,0,-2
pc10skk9at,1,-2,40,male,16,employed,4k_5k,100,100,215,7,ill take a risk if it's not life threatening ,34,day,0,1,controllable,active,Aspect #1,Pro,1,2,2,0,2,1,30.5,61,0,1,0.5,1,1,1.5,1,-2,-2,-2
