id,"partid","cond_order","cond_soepframe","soep_item",aspect_ind,"aspect",r_risk,"r_frequency","r_social","r_situation","r_control","r_active"
224,"pm42618oco","asp_judg","std","gen",4,"I'm afraid I'll get hurt.",-36,"month","0","0","uncontrollable","active"
225,"pdqk6hs9e4","asp_judg","std","gen",0,"I don't like to take risks because I don't want to lose any of my money.",-50,"week","0","0","controllable","active"
226,"pdqk6hs9e4","asp_judg","std","gen",1,"I don't like to take risks because taking risks makes me nervous.",-46,"week","0","0","controllable","active"
227,"pdqk6hs9e4","asp_judg","std","gen",2,"I don't like to take risks because I think it sets a bad example for my child.",-50,"month","0","1","controllable","active"
228,"pdqk6hs9e4","asp_judg","std","gen",3,"I don't like to take risks because I don't think it is right to gamble.",-50,"month","0","0","controllable","active"
229,"ptoru8sg0c","asp_judg","std","gen",0,"I enjoy gambling for money either in poker or sports betting.",22,"month","0","1","uncontrollable","active"
230,"ptoru8sg0c","asp_judg","std","gen",1,"I have invested in the stock market a bit.",6,"year","0","1","uncontrollable","active"
231,"psmasc3auq","asp_judg","std","gen",0,"I avoid risks because I am safe and like to look out for myself. I want to enjoy more of life",-37,"month","0","0","controllable","active"
232,"ptoru8sg0c","asp_judg","std","gen",2,"I try to be careful when it comes to situations that could involve bodily harm.",-21,"week","0","0","uncontrollable","active"
233,"psmasc3auq","asp_judg","std","gen",1,"I believe that I have more life to live and don't want to die.",-41,"month","0","0","controllable","active"
234,"ptoru8sg0c","asp_judg","std","gen",3,"I would never want to go sky-diving or bungee jumping.",-21,"NA","0","0","controllable","active"
235,"pda8fk4eha","asp_judg","std","gen",0,"I take risk in investing in the stock market",36,"month","0","1","controllable","active"
236,"pkgn4kq5r7","asp_judg","std","gen",0,"I usually don't take risks because of the chance of failure. Also there is a chance of embarrassment if it's in a social setting. I don't like to be surprised so a risk scenario has a chance of surprising me greatly.",-50,"NA","0","0","controllable","active"
237,"pii6kuorkp","asp_judg","std","gen",0,"i am willing to take risks",NULL,NULL,NULL,NULL,NULL,NULL
238,"pda8fk4eha","asp_judg","std","gen",1,"Avoid risk of bungee jumping",-50,"NA","0","0","controllable","active"
239,"pda8fk4eha","asp_judg","std","gen",2,"avoid risk of jumping out of a plane",-49,"NA","1","0","controllable","active"
240,"pda8fk4eha","asp_judg","std","gen",3,"Take risk of only going to school and waiting to become a financial adviser",41,"week","0","1","controllable","active"
241,"pa0ckrqnqp","asp_judg","std","gen",0,"I try to avoid risks because I do not like uncertainty.",-50,"less_reg","1","0","uncontrollable","active"
242,"pa0ckrqnqp","asp_judg","std","gen",1,"I try to avoid risks because I do not like to be fearful of what is to come.",-50,"less_once","0","0","uncontrollable","NA"
243,"pa0ckrqnqp","asp_judg","std","gen",2,"I avoid risks because I have anxiety and do not like to induce it for unnecessary reason.",-50,"day","NA","1","uncontrollable","active"
244,"pa0ckrqnqp","asp_judg","std","gen",3,"I like to play it safe because I like when I have a guaranteed future.",-50,"month","1","1","uncontrollable","active"
245,"pa0ckrqnqp","asp_judg","std","gen",4,"I don't take risks because I do not want to lose what I already have.",-50,"less_reg","1","0","uncontrollable","passive"
246,"pjqfr36tuv","asp_judg","std","gen",0,"I am willing to take a risk if the outcome is important and worth it.",-19,"week","0","0","controllable","active"
247,"ph81j4b6fb","asp_judg","std","gen",0,"I like to know the outcome before engaging in something.",-50,"week","0","NA","controllable","active"
248,"pjqfr36tuv","asp_judg","std","gen",1,"I am willing to take a risk if I know that I will feel regret if I don't.",23,"month","0","1","controllable","active"
249,"pjqfr36tuv","asp_judg","std","gen",2,"I am willing to take a risk if it will benefit someone I love like a family member.",-25,"month","0","1","uncontrollable","NA"
250,"ph81j4b6fb","asp_judg","std","gen",1,"I prefer the safe bet over potential for more that requires risking getting nothing.",-50,"month","0","1","controllable","passive"
251,"ph81j4b6fb","asp_judg","std","gen",2,"a bird in the hand is worth two in the bush.",-46,"month","0","0","controllable","active"
252,"pha3pmd5r1","asp_judg","std","gen",0,"I'm pretty middle of the road when it comes to taking risks. It depends on the situation",2,"week","0","0","controllable","NA"
253,"p3lera2r97","asp_judg","std","gen",0,"I don't like losing so I try to avoid taking risks",-50,"less_once","0","1","controllable","passive"
254,"p3lera2r97","asp_judg","std","gen",1,"I get anxious when I think about what I could lose",-50,"month","0","1","controllable","active"
255,"p3lera2r97","asp_judg","std","gen",2,"My life is happier when I avoid taking risks",-50,"day","0","1","controllable","active"
256,"p2cpslioks","asp_judg","std","gen",0,"idk",-39,"NA","NA","NA","NA","NA"
257,"p3lera2r97","asp_judg","std","gen",3,"I sleep well at night knowing I avoid taking risks",-50,"day","0","1","controllable","active"
258,"pnu8ljve5b","asp_judg","std","gen",0,"I no longer get any thrill from risky behavior anymore.",-35,"NA","0","1","NA","active"
259,"p4t969ie19","asp_judg","std","gen",0,"IN MY FRIENDS HOUSE HAS BEEN ACIDENT.",40,"less_reg","1","1","controllable","active"
260,"p4t969ie19","asp_judg","std","gen",1,"I FEEL VERY TRUBLE AND VERY HOT ",30,"week","0","0","uncontrollable","active"
261,"p4t969ie19","asp_judg","std","gen",2,"I WAS SO SAD ON THIS INCIDENT",17,"day","0","1","uncontrollable","passive"
262,"p4t969ie19","asp_judg","std","gen",3,"KEEP ALWAYS SIMILE",18,"week","NA","1","controllable","active"
263,"pnu8ljve5b","asp_judg","std","gen",1,"I have nothing to gain from risky behavior anymore. ",-36,"NA","0","0","NA","active"
264,"p4t969ie19","asp_judg","std","gen",4,"VERY SAD AND LOW",31,"week","0","0","controllable","passive"
265,"pnu8ljve5b","asp_judg","std","gen",2,"I see no advantage in engaging in risky behavior. ",-39,"NA","0","0","NA","passive"
266,"p4t969ie19","asp_judg","std","gen",5,"I WAS LOW PARTICPATE ON THIS",43,"year","0","0","uncontrollable","active"
267,"p4t969ie19","asp_judg","std","gen",6,"OUTING WAY TO PARTICPATE",30,"month","0","1","uncontrollable","passive"
268,"p4t969ie19","asp_judg","std","gen",7,"KEEP SILENT AND I WAS TURUBLE",34,"month","0","1","controllable","passive"
269,"p4t969ie19","asp_judg","std","gen",8,"VERY SIELTN TO ",34,"month","1","0","controllable","passive"
270,"p4t969ie19","asp_judg","std","gen",9,"SO MUCH OF RISK WILL APPER",18,"week","0","NA","controllable","passive"
271,"p4t969ie19","asp_judg","std","gen",10,"Elimination problems can develop as a result of conflict between multiple cats in a home, as a result of a dislike for the litter-box type or the litter itself, as a result of a past medical condition, or as a result of the cat deciding she doesn’t like the location or placement of the litter box.",30,"week","1","1","NA","passive"
272,"palvq0qt8k","asp_judg","std","gen",0,"In most situations the level of risk correlates with the amount of reward. ",40,"day","0","0","controllable","active"
273,"p4t969ie19","asp_judg","std","gen",11,"The best approach to dealing with these problems is to prevent them before they happen by making your cat’s litter boxes as cat-friendly as possible.",20,"day","NA","NA","controllable","active"
274,"p4t969ie19","asp_judg","std","gen",12,"See our common litter-box management issues below, and our ways to make litter boxes cat-friendly",31,"day","0","1","NA","active"
275,"p4t969ie19","asp_judg","std","gen",13," Be certain to read the entire article to help you identify your particular cat’s problem and to familiarize yourself with the different resolution approaches to ensure success ",35,"month","1","1","controllable","passive"
276,"p4t969ie19","asp_judg","std","gen",14,"cleaned your cat’s litter box often or thoroughly enough.",30,"week","1","0","uncontrollable","active"
277,"palvq0qt8k","asp_judg","std","gen",1,"It depends on my general personal risk threshold.",28,"NA","0","0","controllable","active"
278,"p4t969ie19","asp_judg","std","gen",15," household. Be sure to have a litter box for each of your cats, as well as one extra.",29,"week","0","NA","controllable","passive"
279,"p4t969ie19","asp_judg","std","gen",16,"cat’s litter box is too small for her.",26,"week","1","NA","controllable","passive"
280,"palvq0qt8k","asp_judg","std","gen",2,"I associate a particular level of risk with a certain amount on reward.",40,"day","0","0","controllable","active"
281,"p4t969ie19","asp_judg","std","gen",17,"can’t easily get to her litter box at all times.",31,"week","NA","NA","uncontrollable","passive"
282,"p4t969ie19","asp_judg","std","gen",18,"litter box has a hood or liner that makes her uncomfortable.",27,"week","0","0","uncontrollable","active"
283,"p4t969ie19","asp_judg","std","gen",19,"cat’s box is too deep. Cats usually prefer one to two inches of litter.",17,"month","0","1","controllable","active"
284,"p4t969ie19","asp_judg","std","gen",20,"NOTHING",28,"month","1","NA","controllable","NA"
285,"p4t969ie19","asp_judg","std","gen",21,"preferences for eliminating on certain surfaces or textures like carpet, potting soil or bedding.",24,"week","1","0","controllable","active"
286,"p4t969ie19","asp_judg","std","gen",22,"As predators who hunt at night, cats have sensitive senses of smell and touch to help",34,"year","0","1","uncontrollable","active"
287,"p4t969ie19","asp_judg","std","gen",23,"These sensitivities can also influence a cat’s reaction to her litter. Cats who have grown accustomed",25,"week","0","0","uncontrollable","active"
288,"p4t969ie19","asp_judg","std","gen",24,"certain litter might decide that they dislike the smell or feel of a different litter.",19,"month","1","1","uncontrollable","active"
289,"p4t969ie19","asp_judg","std","gen",25,"Like people and dogs, cats develop preferences for where they like to eliminate and may avoid locations they don’t like.",31,"week","0","0","uncontrollable","active"
290,"p4t969ie19","asp_judg","std","gen",26,"This means they might avoid their litter box if it’s in a location they dislike.",19,"month","1","1","controllable","passive"
291,"p4t969ie19","asp_judg","std","gen",27,"Geriatric cats or cats with physical limitations may have a difficult time using certain",26,"week","0","1","controllable","active"
292,"p4t969ie19","asp_judg","std","gen",28,"boxes such as top-entry boxes, or litter boxes with high sides.",35,"week","0","NA","controllable","active"
293,"p4t969ie19","asp_judg","std","gen",29,"There are many reasons why a cat who has reliably used her litter box in the past starts to eliminate outside of the box",36,"week","1","1","controllable","NA"
294,"pohc5dnk6g","asp_judg","std","gen",0,"to gain a greater reward",15,"day","1","1","controllable","active"
295,"pohc5dnk6g","asp_judg","std","gen",1,"to Become indepent",20,"day","1","1","controllable","active"
296,"pohc5dnk6g","asp_judg","std","gen",2,"To be free",29,"week","1","1","controllable","active"
297,"pohc5dnk6g","asp_judg","std","gen",3,"to be better off in the future",16,"day","1","1","controllable","active"
298,"pohc5dnk6g","asp_judg","std","gen",4,"to gain more money",16,"day","1","1","controllable","active"
299,"pohc5dnk6g","asp_judg","std","gen",5,"to pay off debt",16,"week","1","1","controllable","active"
300,"pohc5dnk6g","asp_judg","std","gen",6,"to get ahead",24,"day","1","1","controllable","active"
301,"pohc5dnk6g","asp_judg","std","gen",7,"to get more out of life",21,"day","1","1","controllable","active"
302,"pohc5dnk6g","asp_judg","std","gen",8,"to have more free time ",15,"day","1","1","controllable","active"
303,"pspnd84g9s","asp_judg","std","gen",0,"I usually always try to err on the side of caution.",-35,"day","0","1","controllable","active"
304,"pktkahr10a","asp_judg","std","gen",0,"I always take risk",NULL,NULL,NULL,NULL,NULL,NULL
305,"pspnd84g9s","asp_judg","std","gen",1,"I always think about all the possible outcomes when deciding on whether or not to take a risk.",-2,"week","0","1","controllable","active"
306,"pogc712epf","asp_judg","std","gen",0,"I don't like taking risks because there other people relying on me.",-47,"week","0","1","controllable","active"
307,"p6m4o06g2k","asp_judg","std","gen",0,"I AM PERSON WILLING TO TAKE RISKS.",35,"week","0","1","controllable","active"
308,"pogc712epf","asp_judg","std","gen",1,"I am not a gambler.",-49,"week","0","1","controllable","passive"
309,"pspnd84g9s","asp_judg","std","gen",2,"In addition to thinking about all outcomes, I will also weigh the possible risks vs. rewards and only make a decision if I think a negative outcome is unlikely.",-46,"week","0","1","controllable","active"
310,"pogc712epf","asp_judg","std","gen",2,"I am not confident enough.",-38,"day","0","1","controllable","passive"
311,"pogc712epf","asp_judg","std","gen",3,"I don't like losing.",-49,"day","0","1","controllable","passive"
312,"pogc712epf","asp_judg","std","gen",4,"I like sure bets.",-44,"week","0","1","controllable","active"
313,"pspnd84g9s","asp_judg","std","gen",3,"I generally try to avoid risks and risky behavior. I've learned over time that they are just usually not worth it.",-48,"week","1","1","controllable","active"
314,"p6m4o06g2k","asp_judg","std","gen",1,"I AM PERSON WILLING TO TAKE RISKS BECAUSE RISKS ARE SIMPLE FOR ME.",44,"week","0","1","controllable","active"
315,"p6m4o06g2k","asp_judg","std","gen",2,"I AM THE PERSON TO TAKE RISK BECAUSE RISKS ARE BOOST ME DO MORE JOBS. ",28,"week","0","1","controllable","active"
316,"ppu090ss8n","asp_judg","std","gen",0,"one at a time",-36,"day","1","1","controllable","active"
317,"ppu090ss8n","asp_judg","std","gen",1,"one at a time",-36,"day","1","1","controllable","active"
318,"ppu090ss8n","asp_judg","std","gen",2,"one at a time",-36,"day","1","1","controllable","active"
319,"ppu090ss8n","asp_judg","std","gen",3,"one at a time",-36,"day","1","1","controllable","active"
320,"p146th20sf","asp_judg","std","gen",0,"The survey is very interesting so i am willing to take risks.",NULL,NULL,NULL,NULL,NULL,NULL
321,"pbiiuokuf3","asp_judg","std","gen",0,"The survey is very interesting and clear",NULL,NULL,NULL,NULL,NULL,NULL
322,"pbiiuokuf3","asp_judg","std","gen",1,"Survey is very interesting",NULL,NULL,NULL,NULL,NULL,NULL
323,"p146th20sf","asp_judg","std","gen",1,"I am involing is very interest",NULL,NULL,NULL,NULL,NULL,NULL
324,"p146th20sf","asp_judg","std","gen",2,"While doing this may bring unwanted consequences, hence the fear,",NULL,NULL,NULL,NULL,NULL,NULL
325,"pbiiuokuf3","asp_judg","std","gen",2,"I like this survey",NULL,NULL,NULL,NULL,NULL,NULL
326,"p146th20sf","asp_judg","std","gen",3,"Risk is a gamble where you have to put things on stake to reach a goal and if you lose",NULL,NULL,NULL,NULL,NULL,NULL
327,"p146th20sf","asp_judg","std","gen",4,"I will take this survey is very useful of time ",NULL,NULL,NULL,NULL,NULL,NULL
328,"p146th20sf","asp_judg","std","gen",5,"I can understand easily ",NULL,NULL,NULL,NULL,NULL,NULL
329,"pbiiuokuf3","asp_judg","std","gen",3,"Survey is interesting",NULL,NULL,NULL,NULL,NULL,NULL
330,"pbiiuokuf3","asp_judg","std","gen",4,"Survey is very very interesting",NULL,NULL,NULL,NULL,NULL,NULL
331,"pbiiuokuf3","asp_judg","std","gen",5,"Its very clear this survey",NULL,NULL,NULL,NULL,NULL,NULL
332,"pbiiuokuf3","asp_judg","std","gen",6,"This survey is clear and attractive",NULL,NULL,NULL,NULL,NULL,NULL
333,"pbiiuokuf3","asp_judg","std","gen",7,"Its very attractive",NULL,NULL,NULL,NULL,NULL,NULL
334,"p146th20sf","asp_judg","std","gen",6,"I am very ww",NULL,NULL,NULL,NULL,NULL,NULL
335,"pbiiuokuf3","asp_judg","std","gen",8,"I am very willing this survey",NULL,NULL,NULL,NULL,NULL,NULL
336,"p146th20sf","asp_judg","std","gen",7,"New innovative created",NULL,NULL,NULL,NULL,NULL,NULL
337,"pbiiuokuf3","asp_judg","std","gen",9,"New innovative created",NULL,NULL,NULL,NULL,NULL,NULL
338,"p146th20sf","asp_judg","std","gen",8,"I am belivevalble for taking this survey ",NULL,NULL,NULL,NULL,NULL,NULL
339,"pbiiuokuf3","asp_judg","std","gen",10,"Survey is very interesting",NULL,NULL,NULL,NULL,NULL,NULL
340,"p146th20sf","asp_judg","std","gen",9,"Risk avoiders live in a false reality",NULL,NULL,NULL,NULL,NULL,NULL
341,"pbiiuokuf3","asp_judg","std","gen",11,"Interesting this survey",NULL,NULL,NULL,NULL,NULL,NULL
342,"p146th20sf","asp_judg","std","gen",10,"The temporary comfort they gain from rationalizing their inaction just postpones the inevitable.",NULL,NULL,NULL,NULL,NULL,NULL
343,"pbiiuokuf3","asp_judg","std","gen",12,"Risk avoids live in false reality",NULL,NULL,NULL,NULL,NULL,NULL
344,"p146th20sf","asp_judg","std","gen",11,"Whether you simply lack motivation or your surrender is fear driven, your risk-avoidance behavior may take the form of lack of follow-through",NULL,NULL,NULL,NULL,NULL,NULL
345,"p146th20sf","asp_judg","std","gen",12,"The truth is, risk avoiders are also opportunity missers",NULL,NULL,NULL,NULL,NULL,NULL
346,"pbiiuokuf3","asp_judg","std","gen",13,"By taking risks, you do things that you wouldn’t otherwise do. You do things that normally people fear.",NULL,NULL,NULL,NULL,NULL,NULL
347,"p146th20sf","asp_judg","std","gen",13,"You have to take action—accept risk and make things happen. ",NULL,NULL,NULL,NULL,NULL,NULL
348,"pbiiuokuf3","asp_judg","std","gen",14,"The thought of losing both is what avoids people from taking risks. ",NULL,NULL,NULL,NULL,NULL,NULL
349,"p146th20sf","asp_judg","std","gen",14," many leaders fail to solve problems or correct mistakes because, in their minds, the timing isn’t right.",NULL,NULL,NULL,NULL,NULL,NULL
350,"p146th20sf","asp_judg","std","gen",15,"Your one-time marketing failure has convinced you not to try again. ",NULL,NULL,NULL,NULL,NULL,NULL
351,"pbiiuokuf3","asp_judg","std","gen",15,"I feel comfortable risking those things because if I were to lose them I know that I wouldn’t have lost anything important to me",NULL,NULL,NULL,NULL,NULL,NULL
352,"pbiiuokuf3","asp_judg","std","gen",16," my attitude when I take on a risky venture is to mentally write off these things before even starting",NULL,NULL,NULL,NULL,NULL,NULL
353,"p146th20sf","asp_judg","std","gen",16,"Let’s say that you want to move to the next level, whatever that happens to be for your business. You begin planning and preparing for every possible scenario. You define contingencies with backup plans",NULL,NULL,NULL,NULL,NULL,NULL
354,"p146th20sf","asp_judg","std","gen",17,"I could miss out on a lot of opportunities",NULL,NULL,NULL,NULL,NULL,NULL
355,"p146th20sf","asp_judg","std","gen",18,"Many ideas created",NULL,NULL,NULL,NULL,NULL,NULL
356,"p146th20sf","asp_judg","std","gen",19,"Trustworthy is willing to take risks",NULL,NULL,NULL,NULL,NULL,NULL
357,"pbiiuokuf3","asp_judg","std","gen",17,"Believe me if you can take the occasional risk you will be rewarded in so many ways.",NULL,NULL,NULL,NULL,NULL,NULL
358,"pbiiuokuf3","asp_judg","std","gen",18,"Don't take dangerous risks that you lack skills to perform.",NULL,NULL,NULL,NULL,NULL,NULL
359,"pfn64lqsph","asp_judg","std","gen",0,"I avoid taking risks because I believe in safety first",-23,"day","0","1","controllable","active"
360,"pfn64lqsph","asp_judg","std","gen",1,"I avoid risks so I can protect myself",-39,"day","0","1","controllable","active"
361,"pumidl9a5m","asp_judg","std","gen",0,"I am adverse to taking risks but I simply don't like situations that I feel are not in my control.",-50,"week","0","0","controllable","active"
362,"pumidl9a5m","asp_judg","std","gen",1,"I don't like taking risks because of the chance of loss.",-50,"year","0","1","controllable","active"
363,"pumidl9a5m","asp_judg","std","gen",2,"I don't like taking risks because I see too many failures.",-50,"year","0","1","controllable","active"
364,"p8ikg5f8d0","asp_judg","std","gen",0,"I try to avoid risk taking because I am happy with what I have gained in life and do not wish to risk it.",NULL,NULL,NULL,NULL,NULL,NULL
365,"p8ikg5f8d0","asp_judg","std","gen",1,"I try to avoid risk taking because I have worked hard for what I have and do not wish to lose any of it.",NULL,NULL,NULL,NULL,NULL,NULL
366,"pdliik9kne","asp_judg","std","gen",0,"I try to avoid taking risks with my physical health. ",-48,"year","0","1","controllable","active"
367,"p8ikg5f8d0","asp_judg","std","gen",2,"I try to avoid risk taking as an example for my children.",NULL,NULL,NULL,NULL,NULL,NULL
368,"p6ivk3kle6","asp_judg","std","gen",0,"I am willing to take risks because not everything is going to work out just the way you want it to",49,"week","0","1","uncontrollable","passive"
369,"pdliik9kne","asp_judg","std","gen",1,"I am willing to take minimal risk in my physical recreation activities. ",-36,"month","0","1","controllable","active"
370,"pdliik9kne","asp_judg","std","gen",2,"I am willing to take medium risk in my financial affairs and dealings.",-12,"month","0","1","controllable","active"
371,"p8ikg5f8d0","asp_judg","std","gen",3,"I try to avoid risk taking because of the adverse affects of not doing so.",NULL,NULL,NULL,NULL,NULL,NULL
372,"p8ikg5f8d0","asp_judg","std","gen",4,"I try to avoid risk taking because it does not make sense to do otherwise.",NULL,NULL,NULL,NULL,NULL,NULL
373,"p8ikg5f8d0","asp_judg","std","gen",5,"I try to avoid risk taking because of the danger of not doing so.",NULL,NULL,NULL,NULL,NULL,NULL
374,"p8ikg5f8d0","asp_judg","std","gen",6,"I try to avoid risk taking because of the sadness not doing so might bring.",NULL,NULL,NULL,NULL,NULL,NULL
375,"p8ikg5f8d0","asp_judg","std","gen",7,"I try to avoid risk taking because the odds would not be in my favor if I do otherwise.",NULL,NULL,NULL,NULL,NULL,NULL
376,"p8ikg5f8d0","asp_judg","std","gen",8,"I try to avoid risk taking because it is the right thing to do, in my opinion.",NULL,NULL,NULL,NULL,NULL,NULL
377,"p8ikg5f8d0","asp_judg","std","gen",9,"I try to avoid risk taking because it is in my best interest, to do so.",NULL,NULL,NULL,NULL,NULL,NULL
378,"pemvdndov1","asp_judg","std","gen",0,"I am willing to take risks depending on what the odds of it working out are and what I stand to lose.",-2,"NA","0","0","controllable","active"
379,"pemvdndov1","asp_judg","std","gen",1,"I avoid taking risks if it may hurt my children.",-38,"week","0","0","NA","NA"
380,"pemvdndov1","asp_judg","std","gen",2,"I am less likely to take monetary risks like gambling because I can't afford to lose money.",-46,"year","0","1","uncontrollable","passive"
381,"pemvdndov1","asp_judg","std","gen",3,"I am willing to take risks with things like jobs I may not like etc.",45,"less_once","0","1","controllable","active"
382,"pk362nbj8a","asp_judg","std","gen",0,"Survey is very interest",NULL,NULL,NULL,NULL,NULL,NULL
383,"p01n5qi2cl","asp_judg","std","gen",0,"I generally avoid risks because I don't like the surprise of the unknown",-47,"week","0","0","uncontrollable","passive"
384,"p01n5qi2cl","asp_judg","std","gen",1,"i don't take risks because of fear of getting hurt whether emotional or physical",-46,"month","0","0","uncontrollable","active"
385,"p3fk3o1bc9","asp_judg","std","gen",0,"I like to avoid risks because I view them as unsafe.",-41,"month","0","0","uncontrollable","passive"
386,"p3fk3o1bc9","asp_judg","std","gen",1,"The word risk has a bad connotation to it.",-37,"month","0","0","uncontrollable","passive"
387,"p01n5qi2cl","asp_judg","std","gen",2,"I don't take risks for fear of losing money or other monetary value",-47,"week","0","0","controllable","active"
388,"p01n5qi2cl","asp_judg","std","gen",3,"I don't take risks because they scare me too much",-49,"month","0","0","uncontrollable","active"
389,"pshkqcok6j","asp_judg","std","gen",0,"I would have to understand the cost and the benefit",NULL,NULL,NULL,NULL,NULL,NULL
390,"p24aloafpe","asp_judg","std","gen",0,"Earn moneey",50,"day","1","1","controllable","active"
391,"p9l4vlnsqe","asp_judg","std","gen",0,"No, I will Take risks, Because i do the work in own my interest",28,"less_reg","1","1","controllable","active"
392,"p9l4vlnsqe","asp_judg","std","gen",1,"I willing to take risks, I confident myself",16,"month","1","1","uncontrollable","active"
393,"p9l4vlnsqe","asp_judg","std","gen",2,"If i willing to take risks, when future many risks avoid easly",38,"week","1","1","controllable","passive"
394,"pn5a9a3qva","asp_judg","std","gen",0,"I try to avoid getting arrested",-49,"less_once","0","0","NA","passive"
395,"p9l4vlnsqe","asp_judg","std","gen",3,"Always i am worked at positively",35,"week","1","1","controllable","passive"
396,"pn5a9a3qva","asp_judg","std","gen",1,"I don't want to lose large sums of money",-49,"year","0","0","NA","active"
397,"pn5a9a3qva","asp_judg","std","gen",2,"I am willing to go all in if it's a small amount of money",20,"week","0","1","uncontrollable","active"
398,"p5f7kt8pmj","asp_judg","std","gen",0,"I THINK ABOUT WHAT THE RISK ",23,"week","1","1","controllable","active"
399,"p9l4vlnsqe","asp_judg","std","gen",4,"I like to take risks",43,"year","1","1","controllable","active"
400,"pn5a9a3qva","asp_judg","std","gen",3,"I will gamble away extra money, or something that I otherwise would not have",45,"day","0","1","controllable","active"
401,"pn5a9a3qva","asp_judg","std","gen",4,"I enjoy the thrill of card games",20,"week","0","1","uncontrollable","active"
402,"p5f7kt8pmj","asp_judg","std","gen",1,"I THINK ABOUT THE RISK WEIGHT-AGE",20,"month","0","1","NA","active"
403,"pn5a9a3qva","asp_judg","std","gen",5,"Sometimes I hope I could win big",20,"month","0","1","uncontrollable","active"
404,"pn5a9a3qva","asp_judg","std","gen",6,"I am responsible enough to know that there are things that I have to pay for and cannot dip into my finances below that point to ensure those things are covered",-50,"less_once","0","0","uncontrollable","active"
405,"p9l4vlnsqe","asp_judg","std","gen",5,"I am always willing to take risks",33,"month","1","1","controllable","passive"
406,"p5f7kt8pmj","asp_judg","std","gen",2,"THE BENEFITS OF THE RISK",14,"week","0","1","NA","active"
407,"p9l4vlnsqe","asp_judg","std","gen",6,"I am doing the work,  best for my self",45,"week","1","1","controllable","passive"
408,"pt7crltrr4","asp_judg","std","gen",0,"I avoid taking risks because I feel the need to be in control. I avoid taking risks because I am a careful person. I avoid taking risks because I care for my safety and well being. ",NULL,NULL,NULL,NULL,NULL,NULL
409,"p5f7kt8pmj","asp_judg","std","gen",3,"IF I GET A MONEY EARN  BASIS I NEVER AVOID THE RISK",-17,"week","0","1","controllable","active"
410,"p9l4vlnsqe","asp_judg","std","gen",7,"A person who is willing to take risks whose avoided many risks in future work",46,"month","NA","0","controllable","active"
411,"p5f7kt8pmj","asp_judg","std","gen",4,"THE RISK IS SOMEWHAT WORTH",16,"week","0","1","controllable","passive"
412,"p9l4vlnsqe","asp_judg","std","gen",8,"Willing to take risks to make work confidently",45,"week","1","1","controllable","passive"
413,"p9l4vlnsqe","asp_judg","std","gen",9,"It makes to increase the confident",28,"month","1","1","controllable","active"
414,"p5f7kt8pmj","asp_judg","std","gen",5,"THE RISKS AFFECTS OUR HEALTH AND MIND ALSO",15,"week","NA","1","uncontrollable","active"
415,"p5f7kt8pmj","asp_judg","std","gen",6,"IF WE FAIL THE RISK I GET INTO DEPRESSED ",14,"month","0","1","controllable","active"
416,"p5f7kt8pmj","asp_judg","std","gen",7,"I WIN THE RISK I WIN THE LIFE ALSO I COMPARED THE RISK TO MY LIFE ",16,"month","1","1","controllable","passive"
417,"p81792oc4t","asp_judg","std","gen",0,"I want to stay safe so I avoid taking risks.",-49,"week","0","0","controllable","active"
418,"pvsp7i8pvn","asp_judg","std","gen",0,"I don't take risks with money I can't afford to lose.",-41,"day","0","1","controllable","active"
419,"p81792oc4t","asp_judg","std","gen",1,"I don't think it is worth it to take risks.",-50,"month","0","0","controllable","active"
420,"p81792oc4t","asp_judg","std","gen",2,"I don't think it is necessary to take risks most of the time.",-50,"week","0","0","controllable","active"
421,"p5pi6t9gsd","asp_judg","std","gen",0,"I don't take risks because I think the chance of losing (like in the stocks) is too high. ",-48,"NA","0","0","controllable","active"
422,"p5pi6t9gsd","asp_judg","std","gen",1,"I don't take risks because I don't think the risk is worth the reward. ",-40,"NA","0","0","NA","NA"
423,"pvsp7i8pvn","asp_judg","std","gen",1,"I DO take risks in my work, I sometimes risk time and effort trying to get a job I may not get.",18,"month","0","1","uncontrollable","active"
424,"p5pi6t9gsd","asp_judg","std","gen",2,"I avoid taking risks because I like to feel safe at all times. ",-36,"month","0","1","controllable","active"
425,"p5pi6t9gsd","asp_judg","std","gen",3,"I think taking risks is playing with fire so I avoid it.",-50,"NA","0","0","NA","NA"
426,"p81792oc4t","asp_judg","std","gen",3,"Usually the payout is not worth the risk.",-50,"month","0","0","NA","NA"
427,"pvsp7i8pvn","asp_judg","std","gen",2,"Outside of my work, I can't think of any other areas where I engage in risky behavior, so overall all I am a person who avoids risks.",-47,"day","0","1","controllable","active"
428,"pr6sekml7n","asp_judg","std","gen",0,"It depends on the risk. Do I really need what I'm trying to win/gain? Can I afford to lose or live without my potential loss.",-2,"month","0","NA","uncontrollable","active"
429,"pvsp7i8pvn","asp_judg","std","gen",3,"I do buy lottery tickets, which are extremely risky but the risk of loss to me is small - so small risks are acceptable.",6,"day","0","1","controllable","active"
430,"pr6sekml7n","asp_judg","std","gen",1,"If there is a 80% chance of winning then yes.",-31,"month","NA","1","NA","active"
431,"p74ntiluak","asp_judg","std","gen",0,"I typically tend to stay away from risks",-37,"NA","0","0","NA","NA"
432,"p17frg3toe","asp_judg","std","gen",0,"I take risks because life is too short.",50,"week","0","0","uncontrollable","active"
433,"pp552vm3jb","asp_judg","std","gen",0,"I do not like taking risk.",-50,"less_reg","0","1","uncontrollable","passive"
